<BEG GLOBAL>
	Process[s]	16232-EAD
	Lot[s]	16232
	Wafer[s]	1
	Mask[s]	EAD
	Operator[s]	default
	Date[s]	16/05/2023
	Time[s]	11:26:38
	WaferInfo[s]	
<END GLOBAL>
<BEG>	WAFER (1)
	<BEG>	DIE (0 0)
		<BEG>	MODULE (0 0)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
					0.0	-1.621064E-11
					0.02	-6.440747E-12
					0.04	9.446640E-12
					0.06	1.530827E-11
					0.08	2.375436E-12
					0.1	1.502333E-11
					0.12	-1.558841E-11
					0.14	1.509312E-11
					0.16	2.593248E-11
					0.18	4.670408E-11
					0.2	3.228257E-11
					0.22	9.011970E-11
					0.24	2.526230E-10
					0.26	4.998579E-10
					0.28	1.086202E-09
					0.3	2.310643E-09
					0.32	4.917854E-09
					0.34	1.061668E-08
					0.36	2.274245E-08
					0.38	4.874171E-08
					0.4	1.043548E-07
					0.42	2.236102E-07
					0.44	4.794979E-07
					0.46	1.024908E-06
					0.48	2.190047E-06
					0.5	4.678519E-06
					0.52	9.958133E-06
					0.54	2.121095E-05
					0.56	4.507227E-05
					0.58	9.563090E-05
					0.6	2.020653E-04
					0.62	4.238907E-04
					0.64	8.774932E-04
					0.66	1.767529E-03
					0.68	3.435487E-03
					0.7	6.273062E-03
					0.72	1.060350E-02
					0.74	1.656619E-02
					0.76	2.401361E-02
					0.78	3.272589E-02
					0.8	4.242454E-02
					0.82	5.293102E-02
					0.84	6.403595E-02
					0.86	7.564918E-02
					0.88	8.764900E-02
					0.9	9.996109E-02
					0.92	1.125384E-01
					0.94	1.253560E-01
					0.96	1.383890E-01
					0.98	1.515533E-01
					1.0	1.648664E-01
					1.02	1.783146E-01
					1.04	1.918526E-01
					1.06	2.055049E-01
					1.08	2.192217E-01
					1.1	2.330413E-01
					1.12	2.468928E-01
					1.14	2.608198E-01
					1.16	2.748230E-01
					1.18	2.888418E-01
					1.2	3.029478E-01
					1.22	3.170650E-01
					1.24	3.312395E-01
					1.26	3.454320E-01
					1.28	3.596590E-01
					1.3	3.739443E-01
					1.32	3.882469E-01
					1.34	4.026047E-01
					1.36	4.169729E-01
					1.38	4.313688E-01
					1.4	4.457984E-01
					1.42	4.602350E-01
					1.44	4.745693E-01
					1.46	4.881419E-01
					1.48	4.997276E-01
			<END DATA>
			<END>	MODTEST (IV_test 1)
		<END>	MODULE (0 0)
	<END>	DIE (0 0)
	<BEG>	DIE (-1 0)
		<BEG>	MODULE (0 0)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
					0.0	1.830203E-13
					0.02	1.188318E-11
					0.04	8.446443E-12
					0.06	-3.015460E-12
					0.08	-5.213693E-12
					0.1	2.411235E-11
					0.12	-2.497886E-12
					0.14	1.821001E-11
					0.16	3.666719E-11
					0.18	3.202673E-11
					0.2	6.241066E-11
					0.22	1.135837E-10
					0.24	2.333169E-10
					0.26	5.121689E-10
					0.28	1.084260E-09
					0.3	2.334728E-09
					0.32	4.977458E-09
					0.34	1.030103E-08
					0.36	2.283054E-08
					0.38	4.890319E-08
					0.4	1.046143E-07
					0.42	2.245424E-07
					0.44	4.815512E-07
					0.46	1.029490E-06
					0.48	2.199921E-06
					0.5	4.699799E-06
					0.52	1.000441E-05
					0.54	2.131222E-05
					0.56	4.529254E-05
					0.58	9.611568E-05
					0.6	2.031191E-04
					0.62	4.262436E-04
					0.64	8.827337E-04
					0.66	1.779255E-03
					0.68	3.461718E-03
					0.7	6.329805E-03
					0.72	1.071577E-02
					0.74	1.676713E-02
					0.76	2.433723E-02
					0.78	3.320057E-02
					0.8	4.307307E-02
					0.82	5.377190E-02
					0.84	6.508426E-02
					0.86	7.691719E-02
					0.88	8.914214E-02
					0.9	1.016891E-01
					0.92	1.145043E-01
					0.94	1.275652E-01
					0.96	1.408423E-01
					0.98	1.542569E-01
					1.0	1.678204E-01
					1.02	1.815232E-01
					1.04	1.953220E-01
					1.06	2.092310E-01
					1.08	2.232109E-01
					1.1	2.372937E-01
					1.12	2.514090E-01
					1.14	2.656034E-01
					1.16	2.798656E-01
					1.18	2.941627E-01
					1.2	3.085289E-01
					1.22	3.229142E-01
					1.24	3.373575E-01
					1.26	3.518206E-01
					1.28	3.663166E-01
					1.3	3.808821E-01
					1.32	3.954593E-01
					1.34	4.101008E-01
					1.36	4.247469E-01
					1.38	4.394205E-01
					1.4	4.541390E-01
					1.42	4.688538E-01
					1.44	4.835939E-01
					1.46	4.982790E-01
					1.48	4.997309E-01
			<END DATA>
			<END>	MODTEST (IV_test 1)
		<END>	MODULE (0 0)
	<END>	DIE (-1 0)
	<BEG>	DIE (-2 0)
		<BEG>	MODULE (0 0)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
					0.0	1.099347E-11
